seq.ID	lib.ID	date.seq.run	machine	lane
TMYUDYAM	LB97_A04	220815	A01147	4
TNEEOVHG	LB19_C07	210921	A01059	1
TNFBQPHC	LB44_A09	210921	A01059	3
TNOKZPBQ	LB60_E07	211013	A01059	1
TNYUVGMN	LB25_F08	210921	A01059	2
TNZDMZUV	LB115_B10	220915	A01147	1
TOBHXKRK	LB75_A12	210921	A01059	2
TOGSKHMZ	LB73_C10	211013	A01059	2
TOHDNFZK	LB77_F11	211001	A01059	3
TOHZZVJU	LB27_G08	210921	A01059	3
TOMUUTJP	LB51_F09	211001	A01059	2
TONATVQM	LB31_D06	211001	A01059	3
TOOHMKXN	LB85_G08	220815	A01147	2
TPGCJNAK	LB50_G08	211001	A01059	2
TPMABQPR	LB80_E04	211013	A01059	3
TPMZUKSB	LB126_E07	220915	A01147	2
TPUMBEJU	LB32_E04	210921	A01059	4
TPWVKCBP	LB108_A07	220815	A01147	4
TQQVXDGN	LB101_G05	220815	A01147	3
TQRWFHGA	LB77_E08	211001	A01059	3
TQXCRCLJ	LB8_D01	210505	A01059	1
TRNNZPEU	LB3_H03	210430	A01059	1
TRTJKLEW	LB15_F06	210430	A01059	1
TRUTKOWE	LB56_D01	210921	A01059	1
TSGWMDUQ	LB115_F12	220915	A01147	1
TSSBXIBZ	LB12_C03	210430	A01059	3
TSTFKQLW	LB85_G05	220815	A01147	2
TSTFMMHM	LB81_F05	211001	A01059	2
TTDKEOCI	LB29_C04	210921	A01059	3
TTGKUJGW	LB70_C12	211013	A01059	1
TTYBWSHX	LB32_E06	210921	A01059	4
TUCLJKMR	LB101_D06	220815	A01147	3
TUEMOUYG	LB82_C06	211001	A01059	3
TUHMEMEO	LB83_H05	211013	A01059	4
TUHUIFMQ	LB56_E12	210921	A01059	1
TURJZMTX	LB82_E06	211001	A01059	3
TUSVQEDR	LB19_G09	210921	A01059	1
TUWPDTBD	LB97_C07	220815	A01147	4
TVDKZWDU	LB6_B08	210430	A01059	3
TVHITQCP	LB2_D05	210430	A01059	1
TVMAKITF	LB24_H04	211013	A01059	4
TVTXNJMS	LB68_H12	211001	A01059	4
TVTXNUEV	LB87_C04	220815	A01147	3
TVXJQHBI	LB68_H09	211001	A01059	4
TVZBIPCV	LB60_G03	211013	A01059	1
TVZKVOVX	LB80_H06	211013	A01059	3
TWCBIGEL	LB2_E05	210430	A01059	3
TWFAZZUI	LB32_A08	210921	A01059	4
TWTIJKPU	LB129_D11	220815	A01147	2
TWVJWXNP	LB11_G01	210430	A01059	3
TWXFWFJJ	LB37_D08	211001	A01059	4
TXLITSHS	LB63_B10	211001	A01059	1
TYIBQQJV	LB122_G08	220815	A01147	1
TYILICMF	LB92_H09	220815	A01147	1
TYPWONUP	LB25_F07	210921	A01059	2
TYQZJAFB	LB87_D06	220815	A01147	3
TYYJHNVB	LB130_E09	220915	A01147	2
TYYJOAMP	LB87_C11	220815	A01147	3
TZBUKEQS	LB20_B08	210430	A01059	1
TZCVDDSX	LB104_E07	220915	A01147	1
TZIZTAGP	LB15_C09	210430	A01059	1
TZTXWXWA	LB77_F04	211001	A01059	3
UAFNLHOT	LB9_A05	210505	A01059	2
UAJUYLXM	LB63_F12	211001	A01059	1
UAPLKRWV	LB12_D04	210430	A01059	3
UBIKZEFR	LB19_A07	210921	A01059	1
UBLLWDTC	LB10_C05	210430	A01059	4
UBMFOCLP	LB97_H04	220815	A01147	4
UBQZGQRI	LB22_G06	210921	A01059	2
UBSELQLS	LB13_F01	210430	A01059	2
UCBQNFDC	LB87_E11	220815	A01147	3
UCMKJEVS	LB108_A08	220815	A01147	4
UCSVKRDN	LB108_B06	220815	A01147	4
