feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB30468	Age	Age	-0.0606166350432026	0.0817901763537889	141	82	0.459886101267165	0.540923299728339
GGB28893	Age	Age	-0.0602736333890054	0.0825679871281672	141	79	0.466642940197282	0.546463443125765
GGB45624	Age	Age	-0.0585749430740703	0.0845275952001416	141	83	0.489499430052089	0.56824499053873
GGB29551	Age	Age	-0.0556944203386467	0.0802282551194537	141	33	0.488732113070289	0.56824499053873
GGB30414	Age	Age	-0.057176397899357	0.083881889932351	141	77	0.496621895679523	0.571543302355313
Pseudoflavonifractor	Age	Age	0.0457952239251795	0.0670203236393254	141	25	0.495568937906164	0.571543302355313
GGB20149	Age	Age	0.0543234836404751	0.081524983859746	141	73	0.506312711995402	0.580195253659968
GGB29005	Age	Age	0.0560079123872898	0.0846857548666732	141	75	0.509475189464725	0.581324254645648
GGB28881	Age	Age	0.0535627593614697	0.0841055845364084	141	61	0.52528243310799	0.596810253786525
GGB30451	Age	Age	0.0495909718237814	0.0808804376582195	141	21	0.54080038912699	0.611837728376722
GGB28916	Age	Age	-0.0467237498241248	0.0773068507388103	141	26	0.546581495392225	0.615769026454532
GGB28849	Age	Age	0.0429346218429759	0.0759947394560847	141	16	0.573019080447063	0.642840733106579
GGB45977	Age	Age	-0.0451548980241328	0.0835949598517231	141	89	0.589960740583819	0.659077480066442
GGB28765	Age	Age	-0.0452274729464846	0.0847320990067673	141	85	0.594353061354765	0.66019597285545
GGB62427	Age	Age	-0.0443128995502909	0.0833675978961694	141	46	0.595907226435069	0.66019597285545
GGB30295	Age	Age	-0.0434040893389343	0.0827319273747189	141	44	0.60068392256265	0.662738046794328
GGB28927	Age	Age	-0.0406587850228987	0.0810471282428454	141	77	0.616705618271731	0.677614815138075
GGB28908	Age	Age	-0.0389284807895151	0.0786863691546522	141	62	0.62158316671512	0.680175022594005
GGB28904	Age	Age	0.0407441453693795	0.0834395401896903	141	84	0.626112027644496	0.682334332167675
GGB28926	Age	Age	0.034126345447527	0.0711512745107879	141	43	0.632254627152467	0.686227583128897
GGB28865	Age	Age	-0.0331429533719483	0.0700354551317359	141	79	0.636801405927816	0.688364272804562
GGB28791	Age	Age	-0.0385446159534059	0.0834811891442758	141	53	0.645016403033666	0.694432982298342
GGB79948	Age	Age	-0.0365336940470675	0.0814063454133198	141	91	0.654297655042831	0.700018203153807
Sporofaciens	Age	Age	-0.0360794862271637	0.0806814285398965	141	57	0.655447755761991	0.700018203153807
GGB28967	Age	Age	-0.037245283206282	0.084536925657751	141	93	0.660209613877641	0.702294688865857
GGB28839	Age	Age	0.0311788054213917	0.0738624664401149	141	18	0.673599205344438	0.71369439613875
GGB28959	Age	Age	-0.0293186988805324	0.0756072258525642	141	16	0.698783222641574	0.737451068953756
GGB28869	Age	Age	0.027260832168203	0.0820375646638825	141	20	0.740172628376392	0.778055479435026
Neglectibacter	Age	Age	-0.027206683010002	0.0840075228329998	141	87	0.746537153874094	0.781668314056405
Turicibacter	Age	Age	0.0169872509463904	0.0841571394490672	141	83	0.840331704584108	0.869998683997862
Limosilactobacillus	Age	Age	-0.0123689977482705	0.0626772758047563	141	73	0.843850651784658	0.869998683997862
Staphylococcus	Age	Age	0.0166382236404979	0.0843550974767284	141	78	0.8439313076983	0.869998683997862
GGB47180	Age	Age	0.0102889775042046	0.0515418725972798	141	38	0.842070899903421	0.869998683997862
GGB28892	Age	Age	0.0123152897071329	0.0693298789962774	141	73	0.859273374407549	0.882407657564675
GGB28956	Age	Age	0.014015367259763	0.0848105620492639	141	62	0.868983395037467	0.887221299985989
GGB28879	Age	Age	0.0133034758389664	0.0815197810012808	141	78	0.870606668900109	0.887221299985989
