feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY7208	Age	Age	0.238407392854043	0.0819456446310063	141	77	0.00422643001618146	0.0086357557169455
PWY7229	Age	Age	0.237869792454849	0.0817993782633744	141	81	0.00424406798055014	0.0086357557169455
PWY8178	Age	Age	0.232680328608965	0.0823141507832367	141	84	0.00540559560674107	0.0109043911377363
PWY7221	Age	Age	0.230503160638997	0.082268619219875	141	81	0.00581594158566946	0.0116318831713389
PWY5667	Age	Age	0.230486797125613	0.0825351826594228	141	74	0.00596609262008883	0.0117316443117713
PWY01319	Age	Age	0.230486797125613	0.0825351826594228	141	74	0.00596609262008883	0.0117316443117713
GALACTARDEGPWY	Age	Age	-0.227565324412109	0.082593484123179	141	41	0.00665089749513839	0.0128620662302676
GLUCARGALACTSUPERPWY	Age	Age	-0.227565324412109	0.082593484123179	141	41	0.00665089749513839	0.0128620662302676
ARGSYNPWY	Age	Age	0.227056467306956	0.0825023854729894	141	77	0.00672106878678219	0.0128912302959593
PYRIDNUCSYNPWY	Age	Age	-0.221635238374483	0.0818887673950609	141	73	0.00766280299258613	0.0145780154493102
PWY6293	Age	Age	0.172907339771616	0.064060638018201	141	25	0.00782795872589758	0.0147721156601616
PWY801	Age	Age	0.171961461933884	0.0641191008917827	141	25	0.00822066852280947	0.0153890914746993
PWY5100	Age	Age	-0.207158788286225	0.0782549628058478	141	78	0.00906610786832168	0.0168370574697403
PWY8187	Age	Age	-0.215630386429356	0.0817452032957755	141	84	0.00930760671954991	0.0171494486013754
PWY5484	Age	Age	0.215911106521376	0.0821064147087195	141	80	0.00952301147361099	0.0174092553501951
PWY6545	Age	Age	0.150965843205866	0.0581745365379146	141	35	0.0104874761009161	0.0190237938574758
P41PWY	Age	Age	-0.196382659912708	0.0782492911609243	141	78	0.0132469279780058	0.0238444703604105
PWY6385	Age	Age	0.197985796804882	0.0793002915283097	141	65	0.0137216413899677	0.0245104128645224
PWY4984	Age	Age	-0.199868989212918	0.0831074708201516	141	43	0.0174912994600565	0.0303247663715256
PWY5686	Age	Age	0.192398987173075	0.0799904191763582	141	72	0.017495057522034	0.0303247663715256
PWY7790	Age	Age	0.192398987173075	0.0799904191763582	141	72	0.017495057522034	0.0303247663715256
PWY7791	Age	Age	0.192398987173075	0.0799904191763582	141	72	0.017495057522034	0.0303247663715256
PWY6387	Age	Age	0.191731565229833	0.0804871974448538	141	66	0.0185856314823044	0.0319782188739649
CALVINPWY	Age	Age	0.193514548853543	0.0832155958413895	141	78	0.0214946601043218	0.0367135070394985
PWY6353	Age	Age	0.192552746410452	0.0832316451928549	141	55	0.0221646503109587	0.0375835374837995
PWY7851	Age	Age	-0.189621690259282	0.0829766848623267	141	69	0.0238310439653127	0.0401184481142675
PWY6731	Age	Age	0.185796911765736	0.0819385482510974	141	87	0.0249224959078143	0.0416561717316325
PWY7197	Age	Age	0.186126841030159	0.0830948390805063	141	78	0.0267018479446754	0.0443137050996741
ARGSYNBSUBPWY	Age	Age	0.183796092709561	0.0830946952215967	141	77	0.0286278371756769	0.0471754499937211
SULFATECYSPWY	Age	Age	-0.177337788463983	0.0812927846537201	141	53	0.0308535244724048	0.0504875855002988
COAPWY1	Age	Age	-0.180469558544606	0.083239900540211	141	69	0.0318766938415311	0.0517996274924881
FERMENTATIONPWY	Age	Age	0.180037022070817	0.0834329382484883	141	81	0.0326566750944549	0.0525168808758636
POLYAMSYNPWY	Age	Age	-0.179924973830482	0.0834346771493861	141	28	0.0327669427687012	0.0525168808758636
PWY7237	Age	Age	-0.175353219851718	0.0822004385157298	141	95	0.0346852019706445	0.0552131786471484
FUCCATPWY	Age	Age	-0.176177671445197	0.0834921884117624	141	31	0.0366405761754306	0.0579317217908835
PWY6292	Age	Age	0.13353297474676	0.0633685132151889	141	48	0.0369185687164789	0.0579794971788997
PWY01298	Age	Age	0.174500060408457	0.0834028081704176	141	92	0.0382552660364614	0.0596782150168798
PWY6590	Age	Age	-0.164511557797677	0.0798127595423993	141	83	0.0411724824127865	0.0633839531881056
PWY6969	Age	Age	0.172231318628721	0.0835514046260658	141	69	0.0411301384840275	0.0633839531881056
CENTFERMPWY	Age	Age	-0.164150298034454	0.0797478342214258	141	83	0.0414494036834192	0.0633932056334646
PWY6595	Age	Age	0.171306058152745	0.0835650883370453	141	54	0.0422469869064568	0.0637793221684573
PWY66399	Age	Age	-0.168486205643691	0.0821397597746466	141	55	0.0421500522498791	0.0637793221684573
PWY5505	Age	Age	-0.170165191097326	0.0832506616598051	141	95	0.042864508228235	0.0642967623423526
CITRULBIOPWY	Age	Age	-0.166305142365998	0.0836377337144078	141	48	0.0487315370651837	0.0726317176640318
POLYISOPRENSYNPWY	Age	Age	0.125555411130494	0.0632810895882946	141	30	0.0492439746387071	0.0729309497813764
NONOXIPENTPWY	Age	Age	0.159780881025384	0.0822630072599864	141	81	0.0541484514039737	0.0796901737643387
PWY0162	Age	Age	-0.160653754788814	0.0837171656272697	141	84	0.0570331370316597	0.0834109629088023
P461PWY	Age	Age	0.154156097831869	0.08173622636609	141	93	0.0614075560644997	0.0892507336589623
BRANCHEDCHAINAASYNPWY	Age	Age	-0.155599374383782	0.0830912779109674	141	70	0.0632468116500855	0.0913565057167901
PWY7392	Age	Age	0.11035230606842	0.0596252736534088	141	30	0.0663570792318733	0.0952610830690696
PWY6859	Age	Age	0.107979273659178	0.0598398347827962	141	30	0.0733539596382764	0.104663576557053
PWY6628	Age	Age	-0.149470730877554	0.083866050299775	141	95	0.0768906875538774	0.109044975076408
PWY922	Age	Age	0.103722733219276	0.0602392531112873	141	30	0.0873542398511923	0.123137904368548
PWY7953	Age	Age	0.135138240499913	0.0798388345760585	141	65	0.0927963636545526	0.13002604248602
PWY6608	Age	Age	0.139580623813682	0.083988576195436	141	83	0.098786447095066	0.137595408453842
THISYNARAPWY	Age	Age	-0.133716859184378	0.0809994526559308	141	77	0.101061448086318	0.139931235811825
PWY7315	Age	Age	-0.133885418361275	0.0840190826211997	141	84	0.113342883648884	0.156013145728463
RUMPPWY	Age	Age	-0.132988740815814	0.08403024403279	141	24	0.115805118570364	0.158470162254183
PWY5910	Age	Age	0.097272790209978	0.0625587963743647	141	28	0.122276394609712	0.166352769410887
PWY01296	Age	Age	0.126859990213404	0.0841336100336136	141	75	0.133865073346608	0.181066052965933
DTDPRHAMSYNPWY	Age	Age	-0.114778148783367	0.0786415420859297	141	76	0.146713175764253	0.197303926027788
OANTIGENPWY	Age	Age	-0.121008163311752	0.0831388463773658	141	80	0.147816847007456	0.197652241141399
