one.minus.specificity,sensitivity,fold
0.59859860,0.52405224,mean
0.59959960,0.52405224,mean
0.60060060,0.52405224,mean
0.60160160,0.52405224,mean
0.60260260,0.52405224,mean
0.60360360,0.52405224,mean
0.60460460,0.52405224,mean
0.60560561,0.52405224,mean
0.60660661,0.52405224,mean
0.60760761,0.52405224,mean
0.60860861,0.52405224,mean
0.60960961,0.52405224,mean
0.61061061,0.53020609,mean
0.61161161,0.53020609,mean
0.61261261,0.53020609,mean
0.61361361,0.53235663,mean
0.61461461,0.53235663,mean
0.61561562,0.53235663,mean
0.61661662,0.53235663,mean
0.61761762,0.53235663,mean
0.61861862,0.53235663,mean
0.61961962,0.53492073,mean
0.62062062,0.53492073,mean
0.62162162,0.53492073,mean
0.62262262,0.53492073,mean
0.62362362,0.53492073,mean
0.62462462,0.53492073,mean
0.62562563,0.57357619,mean
0.62662663,0.57357619,mean
0.62762763,0.59511465,mean
0.62862863,0.59511465,mean
0.62962963,0.59511465,mean
0.63063063,0.59511465,mean
0.63163163,0.59511465,mean
0.63263263,0.59511465,mean
0.63363363,0.59511465,mean
0.63463463,0.59511465,mean
0.63563564,0.59511465,mean
0.63663664,0.59511465,mean
0.63763764,0.59511465,mean
0.63863864,0.59511465,mean
0.63963964,0.59511465,mean
0.64064064,0.59511465,mean
0.64164164,0.59511465,mean
0.64264264,0.59511465,mean
0.64364364,0.59511465,mean
0.64464464,0.59819157,mean
0.64564565,0.60679372,mean
0.64664665,0.60679372,mean
0.64764765,0.60679372,mean
0.64864865,0.60679372,mean
0.64964965,0.60679372,mean
0.65065065,0.60679372,mean
0.65165165,0.60679372,mean
0.65265265,0.60679372,mean
0.65365365,0.60679372,mean
0.65465465,0.60679372,mean
0.65565566,0.60679372,mean
0.65665666,0.60679372,mean
0.65765766,0.60679372,mean
0.65865866,0.60679372,mean
0.65965966,0.60679372,mean
0.66066066,0.60679372,mean
0.66166166,0.61294757,mean
0.66266266,0.61294757,mean
0.66366366,0.61294757,mean
0.66466466,0.61294757,mean
0.66566567,0.61294757,mean
0.66666667,0.61294757,mean
0.66766767,0.61807578,mean
0.66866867,0.61807578,mean
0.66966967,0.61807578,mean
0.67067067,0.61807578,mean
0.67167167,0.61807578,mean
0.67267267,0.61807578,mean
0.67367367,0.61807578,mean
0.67467467,0.61807578,mean
0.67567568,0.61807578,mean
0.67667668,0.61807578,mean
0.67767768,0.61807578,mean
0.67867868,0.63038347,mean
0.67967968,0.63038347,mean
0.68068068,0.63038347,mean
0.68168168,0.63038347,mean
0.68268268,0.63038347,mean
0.68368368,0.63038347,mean
0.68468468,0.63038347,mean
0.68568569,0.63038347,mean
0.68668669,0.63038347,mean
0.68768769,0.63038347,mean
0.68868869,0.63038347,mean
0.68968969,0.63038347,mean
0.69069069,0.63038347,mean
0.69169169,0.63038347,mean
0.69269269,0.63038347,mean
0.69369369,0.63038347,mean
0.69469469,0.63038347,mean
0.69569570,0.63346039,mean
0.69669670,0.63346039,mean
0.69769770,0.63346039,mean
0.69869870,0.63346039,mean
0.69969970,0.63346039,mean
0.70070070,0.63346039,mean
0.70170170,0.63346039,mean
0.70270270,0.63346039,mean
0.70370370,0.63346039,mean
0.70470470,0.63346039,mean
0.70570571,0.63346039,mean
0.70670671,0.63346039,mean
0.70770771,0.63346039,mean
0.70870871,0.63346039,mean
0.70970971,0.63776147,mean
0.71071071,0.63776147,mean
0.71171171,0.63776147,mean
