PCoA1,PCoA2,Diet.5mo.as.AL,age.approx.months
 0.06059930, 0.15814113,40,28
-0.21662840, 0.08605102,40,28
 0.23787929, 0.07522311,40,28
 0.19273354, 0.10467954,40,28
 0.23709407, 0.07814422,40,28
 0.36200521, 0.06600520,40,28
 0.19779111, 0.06039518,40,28
 0.42575782, 0.00422019,40,28
 0.28257424, 0.09294212,40,28
 0.05761536, 0.09844399,40,28
 0.05968111, 0.13750723,40,28
 0.28702931, 0.08486127,40,28
 0.35290921, 0.08907604,40,28
 0.25676481, 0.08210504,40,28
 0.37078028, 0.01378044,40,28
 0.26930635, 0.07168993,40,28
 0.24899126, 0.03629668,40,28
-0.16302957, 0.07437148,40,28
-0.22286316, 0.01381127,40,28
-0.01181524, 0.13361944,40,28
-0.06124860, 0.20878565,40,28
 0.07526120, 0.19779884,40,28
 0.33251547, 0.05509758,40,28
 0.32274796, 0.04192949,40,28
 0.25518872, 0.01851447,AL,28
-0.14973647,-0.10994564,AL,28
 0.16555558, 0.00733854,AL,28
 0.23940178,-0.14428965,AL,28
-0.28269519, 0.00435426,AL,28
 0.39338059,-0.01905777,AL,28
-0.04100759,-0.12873112,AL,28
-0.27325468,-0.22426319,AL,28
-0.15546929,-0.17173438,AL,28
 0.02040346, 0.07467718,AL,28
-0.09591491,-0.09036383,AL,28
 0.09270833, 0.00021208,AL,28
 0.16468640, 0.05796915,AL,28
-0.21552431, 0.16155647,AL,28
-0.25567741,-0.01023443,AL,28
-0.33794396,-0.14475815,AL,28
-0.03270446, 0.19552689,AL,28
 0.24364239,-0.09189212,AL,28
 0.08219981, 0.00828320,AL,28
 0.12201937,-0.07266545,AL,28
-0.15985999,-0.06574711,AL,28
-0.26490015,-0.04495950,AL,28
 0.16087160,-0.16113853,AL,28
-0.27823279, 0.09563692,AL,28
 0.33126939,-0.05592769,AL,28
 0.15237771, 0.01337695,AL,28
-0.17443432,-0.02550667,AL,28
 0.22857639,-0.09602212,AL,28
-0.13208723,-0.17116341,AL,28
-0.30872077, 0.00979156,AL,28
-0.26482017, 0.03605385,AL,28
 0.30711295,-0.02508517,AL,28
-0.25138151, 0.01460979,AL,28
-0.02689441, 0.00336009,AL,28
 0.03074094, 0.06676769,AL,28
-0.04408136, 0.08595767,AL,28
 0.07983529, 0.04821765,AL,28
 0.14240879, 0.02159298,AL,28
-0.27598345,-0.02907553,AL,28
-0.01162597,-0.01966617,AL,28
-0.34801682,-0.01557755,AL,28
-0.27395855, 0.02062016,AL,28
 0.13171187,-0.00495531,AL,28
-0.35960765,-0.11808973,AL,28
 0.12409536, 0.01422477,AL,28
 0.31780118,-0.06571505,AL,28
-0.29396991,-0.07038039,AL,28
-0.14829179,-0.04584264,AL,28
 0.31803565,-0.04941382,AL,28
 0.12533406,-0.02606198,AL,28
 0.28933498,-0.02108908,AL,28
 0.05062535,-0.07916676,AL,28
-0.18439395, 0.13266975,AL,28
-0.26391995,-0.04028391,AL,28
 0.15485630, 0.06557851,AL,28
 0.42894332,-0.05715767,1D,22
-0.31282093, 0.09580869,1D,22
-0.16879791, 0.03351465,1D,22
-0.33447813,-0.04387229,1D,22
 0.09883031,-0.03973563,1D,22
-0.17700346, 0.12148467,1D,22
 0.09603914,-0.02692743,1D,22
-0.33115531,-0.13542200,1D,22
 0.26246927,-0.00534299,1D,22
-0.10827787,-0.08321524,1D,22
 0.30591087,-0.06632131,1D,22
 0.39570567,-0.07946395,1D,22
 0.31078379,-0.05783849,1D,22
-0.11001810,-0.07631381,1D,22
-0.25437004,-0.09198460,1D,22
 0.17977527,-0.03214323,1D,22
-0.25453940,-0.01862178,1D,22
-0.11737369, 0.09016038,1D,22
-0.29216990,-0.02782574,1D,22
-0.26422242,-0.01787791,1D,22
-0.26089367,-0.01833076,1D,22
 0.17547876,-0.06201976,1D,22
 0.12273880,-0.14424089,1D,22
-0.04603690,-0.00246036,1D,22
 0.14600017, 0.01084858,1D,22
-0.24621334, 0.08766040,1D,22
-0.10709265,-0.03744110,1D,22
 0.04948773, 0.08856473,1D,22
-0.14455499, 0.05814057,1D,22
-0.26380334,-0.02158330,1D,22
 0.08390584, 0.00706727,1D,22
-0.16134376,-0.13723712,1D,22
 0.05402375,-0.04992196,1D,22
-0.22314327,-0.00749505,1D,22
 0.01163753,-0.05793169,1D,22
-0.10341937, 0.07466640,1D,22
 0.24719099,-0.02011723,1D,22
 0.18488760,-0.04193725,1D,22
 0.07854906,-0.00089449,1D,22
 0.17227438, 0.02662330,1D,22
-0.11828026,-0.12377146,1D,22
-0.04336620,-0.05509841,1D,22
-0.21209426,-0.17664381,1D,22
-0.13575733,-0.14628155,1D,22
 0.20986504,-0.07641446,1D,22
 0.33745186,-0.08194075,1D,22
-0.12907974,-0.01057963,1D,22
 0.19090644,-0.08755583,1D,22
 0.08031041, 0.02571964,1D,22
 0.08286907, 0.03284642,1D,22
 0.00309667,-0.03931076,1D,22
-0.20936739,-0.03748450,1D,22
-0.30115867,-0.07290240,1D,22
 0.02963604,-0.12684380,1D,22
-0.24808012,-0.22985933,1D,22
-0.14332646,-0.15449642,1D,22
-0.03101554, 0.04761287,1D,22
-0.11469213, 0.02433468,1D,22
 0.32897695,-0.08662143,1D,22
 0.23955227,-0.07600864,1D,22
 0.09877120,-0.00166360,1D,22
-0.14286245,-0.03327086,1D,22
-0.13537369, 0.12814274,1D,22
-0.17470966, 0.03625564,1D,22
 0.07906941, 0.00169731,1D,22
-0.23617144, 0.15084009,1D,22
-0.07451836, 0.07254758,1D,22
-0.17066930, 0.03377713,1D,22
 0.07619198, 0.06458491,1D,22
 0.26032753,-0.07063798,1D,22
 0.40457356, 0.01384896,1D,22
 0.32142398,-0.07017203,1D,22
-0.06027030, 0.03374747,1D,22
-0.23335056,-0.13059899,1D,22
 0.27116862,-0.00140050,1D,22
 0.21459238,-0.00987549,1D,22
-0.02019291, 0.08989375,1D,22
-0.15091740,-0.00465120,1D,22
-0.10466112,-0.06651469,1D,22
 0.13468039,-0.01470312,1D,22
-0.24980427,-0.09253589,1D,22
-0.08166323, 0.06334512,1D,22
 0.02126399, 0.06077567,1D,22
-0.16165614, 0.09919714,1D,22
 0.06211396, 0.02078313,1D,22
-0.07633077, 0.00407695,1D,22
 0.13454049,-0.05980818,1D,22
-0.27874394,-0.01813258,1D,22
-0.18668934, 0.03609202,1D,22
-0.19008045,-0.01765957,1D,22
-0.13547488, 0.09778306,1D,22
-0.15834691, 0.05804112,1D,22
 0.14541157, 0.00085470,1D,22
 0.17967314,-0.03771029,1D,22
-0.34489145, 0.02406434,1D,22
-0.04987313, 0.00211673,1D,22
 0.17534761, 0.01043512,1D,22
 0.02159865, 0.05813290,1D,22
-0.21660012, 0.07205295,1D,22
-0.01041753,-0.04339856,1D,22
 0.07657171, 0.07358942,1D,22
-0.19619376,-0.05548581,1D,22
 0.13022817, 0.04431541,1D,22
