Diet.5mo.as.AL,log10relab
20,-0.89807088
40,-0.89874510
2D,-0.89919724
40,-0.90011153
2D,-0.90019522
AL,-0.90025892
40,-0.90037229
2D,-0.90038841
20,-0.90123491
1D,-0.90158758
AL,-0.90205762
40,-0.90206655
20,-0.90245053
20,-0.90288641
1D,-0.90351713
AL,-0.90386021
40,-0.90386637
2D,-0.90418757
1D,-0.90422582
1D,-0.90543281
40,-0.90558419
1D,-0.90581086
AL,-0.90600470
40,-0.90621041
20,-0.90637220
40,-0.90670393
AL,-0.90676243
20,-0.90677836
AL,-0.90708911
1D,-0.90722391
20,-0.90819227
40,-0.90854385
1D,-0.90921324
20,-0.90963925
AL,-0.90985589
20,-0.91056106
AL,-0.91079397
1D,-0.91092698
1D,-0.91275170
2D,-0.91335026
AL,-0.91351636
20,-0.91383470
1D,-0.91498311
40,-0.91512176
2D,-0.91520507
1D,-0.91521567
40,-0.91539172
40,-0.91602927
AL,-0.91621647
AL,-0.91643123
40,-0.91735067
2D,-0.91761890
40,-0.91762511
2D,-0.91801310
20,-0.91813823
20,-0.91828621
1D,-0.91916743
20,-0.91943134
1D,-0.91989998
40,-0.92010353
40,-0.92018621
AL,-0.92063303
40,-0.92068743
1D,-0.92071603
20,-0.92099923
AL,-0.92221361
40,-0.92251146
40,-0.92279660
AL,-0.92336550
20,-0.92354404
40,-0.92458234
AL,-0.92483937
1D,-0.92535189
20,-0.92542080
2D,-0.92550964
20,-0.92571061
AL,-0.92603167
40,-0.92624313
1D,-0.92645145
40,-0.92668221
20,-0.92753201
40,-0.92761242
1D,-0.92762591
1D,-0.92827955
20,-0.92862805
2D,-0.92919702
AL,-0.92965345
40,-0.92971939
AL,-0.93002768
2D,-0.93025708
40,-0.93085338
40,-0.93102491
20,-0.93131571
40,-0.93214582
2D,-0.93266985
AL,-0.93271123
40,-0.93293984
2D,-0.93402868
40,-0.93413756
40,-0.93418897
20,-0.93437612
AL,-0.93444731
20,-0.93478220
2D,-0.93488073
AL,-0.93515937
1D,-0.93572764
40,-0.93643126
2D,-0.93651774
AL,-0.93711656
20,-0.93748843
1D,-0.93781093
1D,-0.93785346
1D,-0.93829440
20,-0.93846941
20,-0.93849887
1D,-0.93874536
AL,-0.93952390
AL,-0.94004992
1D,-0.94102194
1D,-0.94110977
40,-0.94121127
AL,-0.94121193
40,-0.94150693
2D,-0.94163476
20,-0.94196414
20,-0.94197022
AL,-0.94207020
AL,-0.94265994
40,-0.94296451
20,-0.94309301
20,-0.94362323
20,-0.94397386
AL,-0.94420460
40,-0.94446053
20,-0.94446378
2D,-0.94468983
1D,-0.94474683
1D,-0.94476897
20,-0.94522032
20,-0.94525435
AL,-0.94671104
1D,-0.94734775
20,-0.94738809
AL,-0.94753394
2D,-0.94772569
AL,-0.94777319
AL,-0.94797865
40,-0.94827717
AL,-0.94940901
40,-0.94958662
AL,-0.94999163
AL,-0.95003723
40,-0.95135965
AL,-0.95190504
20,-0.95194873
1D,-0.95313134
AL,-0.95451105
40,-0.95486376
1D,-0.95505328
1D,-0.95568203
20,-0.95680142
20,-0.95680781
40,-0.95695413
AL,-0.95746542
AL,-0.95771622
20,-0.95804719
AL,-0.95856241
1D,-0.95944380
