Diet.5mo.as.AL,log10relab
1D,-0.61297782
2D,-0.61318225
1D,-0.61373515
2D,-0.61436488
AL,-0.61442984
1D,-0.61449799
1D,-0.61503187
2D,-0.61516273
2D,-0.61520901
AL,-0.61594887
1D,-0.61621395
1D,-0.61622087
1D,-0.61702490
2D,-0.61788899
AL,-0.61934947
2D,-0.61951943
AL,-0.61955041
1D,-0.61994212
AL,-0.62009289
AL,-0.62039349
AL,-0.62109280
40,-0.62135937
AL,-0.62208020
AL,-0.62269030
1D,-0.62274690
1D,-0.62328545
2D,-0.62330505
AL,-0.62400580
20,-0.62430921
1D,-0.62433298
40,-0.62454604
AL,-0.62470444
AL,-0.62474704
AL,-0.62488428
AL,-0.62503211
AL,-0.62538326
AL,-0.62565341
AL,-0.62566640
1D,-0.62570218
40,-0.62700538
AL,-0.62718135
20,-0.62773412
1D,-0.62785218
2D,-0.62936194
AL,-0.63046156
1D,-0.63049568
AL,-0.63152369
AL,-0.63197995
20,-0.63226947
AL,-0.63231984
2D,-0.63449489
20,-0.63487729
1D,-0.63498779
2D,-0.63508494
AL,-0.63519195
2D,-0.63524014
2D,-0.63556925
20,-0.63609008
20,-0.63612356
AL,-0.63711396
2D,-0.63730308
20,-0.63778051
20,-0.63861670
40,-0.63876793
20,-0.63887920
20,-0.63957467
1D,-0.63991337
AL,-0.64005779
40,-0.64010422
20,-0.64037493
2D,-0.64077737
AL,-0.64088455
2D,-0.64095968
20,-0.64099801
AL,-0.64173906
2D,-0.64187811
AL,-0.64221281
40,-0.64416347
1D,-0.64431574
AL,-0.64467387
1D,-0.64519536
AL,-0.64539930
2D,-0.64549440
1D,-0.64583661
40,-0.64593643
AL,-0.64681405
2D,-0.64724606
1D,-0.64728690
AL,-0.64745398
AL,-0.64772818
1D,-0.64776893
AL,-0.64794552
20,-0.64826511
AL,-0.64882332
40,-0.64885393
2D,-0.64895954
AL,-0.64908906
20,-0.65012346
20,-0.65033238
AL,-0.65053295
AL,-0.65152336
1D,-0.65163340
AL,-0.65204500
AL,-0.65214342
2D,-0.65217956
AL,-0.65257198
AL,-0.65294942
AL,-0.65343524
20,-0.65352323
AL,-0.65400721
20,-0.65453663
20,-0.65468310
AL,-0.65480029
1D,-0.65518792
2D,-0.65522419
2D,-0.65538471
40,-0.65570995
2D,-0.65583088
2D,-0.65604058
2D,-0.65714002
1D,-0.65720416
1D,-0.65758633
2D,-0.65792969
20,-0.65806392
1D,-0.65841746
AL,-0.65899826
AL,-0.65920806
AL,-0.65960761
AL,-0.66045719
AL,-0.66050236
20,-0.66057864
20,-0.66065559
AL,-0.66123285
2D,-0.66124052
20,-0.66128039
AL,-0.66213690
20,-0.66224168
2D,-0.66246461
2D,-0.66412124
1D,-0.66443841
20,-0.66455096
20,-0.66497671
AL,-0.66501716
AL,-0.66551557
AL,-0.66576901
AL,-0.66604256
20,-0.66626891
40,-0.66639412
2D,-0.66641576
AL,-0.66655654
1D,-0.66656267
AL,-0.66661236
1D,-0.66680320
20,-0.66711474
1D,-0.66713542
20,-0.66737413
1D,-0.66741277
AL,-0.66902676
1D,-0.66910691
20,-0.66919782
1D,-0.66923511
20,-0.67037472
20,-0.67106906
2D,-0.67159648
AL,-0.67233349
AL,-0.67287966
AL,-0.67297184
AL,-0.67305957
AL,-0.67327199
AL,-0.67452467
1D,-0.67469131
AL,-0.67480365
AL,-0.67502462
40,-0.67521441
40,-0.67549717
40,-0.67596684
AL,-0.67629513
AL,-0.67701079
2D,-0.67719274
20,-0.67719497
40,-0.67795892
20,-0.67814360
20,-0.67852339
AL,-0.67902826
AL,-0.67919718
1D,-0.67937660
20,-0.68069200
2D,-0.68075940
AL,-0.68085759
2D,-0.68193963
AL,-0.68205320
AL,-0.68253286
1D,-0.68359621
40,-0.68404715
1D,-0.68408488
1D,-0.68440632
2D,-0.68453725
AL,-0.68474633
AL,-0.68534664
2D,-0.68570018
AL,-0.68577645
AL,-0.68647690
AL,-0.68702350
40,-0.68760030
AL,-0.68783098
2D,-0.68875475
AL,-0.68914921
AL,-0.68927818
AL,-0.68931395
1D,-0.68957909
2D,-0.68966248
AL,-0.68975131
AL,-0.68996268
AL,-0.69018577
20,-0.69023526
AL,-0.69079168
2D,-0.69096472
20,-0.69100152
1D,-0.69109266
1D,-0.69123675
1D,-0.69125983
1D,-0.69189248
20,-0.69226789
AL,-0.69259045
AL,-0.69303616
AL,-0.69307255
AL,-0.69324573
2D,-0.69325154
AL,-0.69366733
1D,-0.69499758
