taxon.ID	phylum	class	order	family	genus	species
246	Firmicutes	Bacilli	Bacillales	Amphibacillaceae		
248	Firmicutes	Bacilli	Bacillales	Amphibacillaceae	Virgibacillus	sp003612345
249	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ovatus
250	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Muricomes	
251	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Muricomes	sp000509105
252	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	onderdonkii
253	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	MGBC000480
254	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	MGBC000489
255	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	MGBC000495
256	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	
257	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	MGBC000496
258	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	sp003669055
259	Firmicutes_A	Clostridia	Tissierellales			
262	Firmicutes_A	Clostridia	Tissierellales	SIT17	Senegalia	MGBC000499
263	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	sp000403295
264	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae		
265	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccaceae_NOV	
266	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccaceae_NOV	MGBC000503
267	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	MGBC000515
268	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	MGBC000518
269	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	MGBC000522
271	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	xiangfangensis
272	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae		
274	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	difficile
275	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_NOV	MGBC000527
276	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	MGBC000531
277	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	MGBC000533
278	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	MGBC000538
280	Firmicutes	Bacilli	Bacillales	Bacillaceae_A	Bacillus_AK	MGBC000539
281	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	MGBC000541
282	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	MGBC000542
283	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	MGBC000548
285	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_C	asini
286	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	MGBC000555
287	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Muricomes	intestini
289	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Cuneatibacter	caecimuris
290	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	muris
291	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae		
293	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Longibaculum	muris
295	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	amylolyticus
297	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Frisingicoccus	caecimuris
298	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	
299	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	sp000433815
302	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	MGBC000565
306	Firmicutes_A	Clostridia	Eubacteriales	Garciellaceae	Garciellaceae_NOV	MGBC000568
307	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	bolteae
308	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	
309	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	hirae
310	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	xylosus
311	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	xylanisolvens
313	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	bifermentans
314	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae		
315	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Rodentibacter	
316	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Rodentibacter	heylii
317	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	
318	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	caecimuris
319	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	
320	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	symbiosum
321	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	innocuum
323	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_F	tepidum
324	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	
325	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	ramosum
328	Firmicutes_A	Clostridia	Tissierellales	Sporanaerobacteraceae	Anaerosalibacter_A	massiliensis
330	Firmicutes	Bacilli	Bacillales	Amphibacillaceae	Oceanobacillus	caeni
331	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	muris
333	Firmicutes_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paeniclostridium	sordellii
334	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	cereus
335	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	MGBC000603
337	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_G	cochlearium
338	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	rodentium
340	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas	butyriciproducens
341	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella	
342	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella	MGBC100019
343	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-510	
344	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-510	MGBC100069
345	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	MGBC100080
346	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8-76	MGBC100084
347	Firmicutes	Bacilli	RF39			
348	Firmicutes	Bacilli	RF39	CAG-1000		
349	Firmicutes	Bacilli	RF39	CAG-1000	UBA11963	
350	Firmicutes	Bacilli	RF39	CAG-1000	UBA11963	MGBC100111
351	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	
352	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	MGBC100127
354	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	
355	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	MGBC100138
356	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	
357	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	MGBC100158
358	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
359	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	sp001689665
361	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Tidjanibacter	MGBC100163
363	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio_A	MGBC100164
364	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	MGBC100172
365	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NOV	MGBC100174
